Dates,PDOT,RR,RS,Y,g,p_pdot1,p_pdot2,p_pdot3,p_rs1,p_y1,p_y2,p_y3
Comments,Inflation,Real Interest Rate,Monetary Policy Rate,Output Gap,,,,,,,,
2024,0.0,0.0,0.0,0.0,0.049,0.414,0.196,0.276,3,0.304,0.098,0.315
2025,0.009419583901768655,0.039658343942045975,0.04437223399898546,0.016113482293679496,,,,,,,,
2026,0.011386207867003593,0.018450628640573886,0.02475658226976862,-0.009402041331242155,,,,,,,,
2027,0.0018987378327495216,-0.007637944887211391,-0.002225436489283108,-0.007921649987531672,,,,,,,,
2028,-0.003043017903709718,0.01973098669630176,0.018935080635895232,-0.0019358656529756128,,,,,,,,
2029,-0.004610063841540449,-0.01590753723155571,-0.019075016843768527,-0.00524482531914718,,,,,,,,
2030,-0.0033436500498524625,-0.0034441142567693964,-0.006276979621474682,0.0037539705280827066,,,,,,,,
2031,-0.00031731389749415983,0.0028335494946494367,0.0009964734884613784,0.001948415180943858,,,,,,,,
2032,0.00029541768846735595,0.0007091882024311455,0.0005165027457561757,-0.0003697503196458921,,,,,,,,
2033,-1.627901628838709e-05,-0.0004789867982255671,-0.00033769472357721776,-0.00028885767471205646,,,,,,,,
2034,-7.686640288290135e-05,-0.00014100969161360936,-0.00015371215054198187,7.68870581067222e-05,,,,,,,,
2035,-7.639988848738325e-06,7.793319423099338e-05,3.723429894187818e-05,6.0154265488093146e-05,,,,,,,,
2036,1.04947265706884e-05,2.6963046622953737e-05,2.2579741668633137e-05,-8.904438043432066e-06,,,,,,,,
2037,2.263973696619703e-07,-1.3783973127295515e-05,-9.170287375972904e-06,-9.849479484958816e-06,,,,,,,,
